pair,a,b,mode,metric,n_tasks,mean_diff,ci_lo,ci_hi,median_diff,frac_positive,sign_p,mean_a,mean_b
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,mean_ctx,150,-1992.5759433196179,-2859.3075049585564,-1121.7234977592723,-2144.4007078507093,0.28,6.915618314188369e-08,17342.546762289592,19335.122705609203
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,cum_prompt_tokens,150,485407.2266666667,410750.64666666667,562530.0733333334,334877.0,0.94,1.2403361289530762e-31,595450.64,110043.41333333333
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,greedy,forward_passes,150,26.0,22.613333333333333,29.48,21.0,0.9733333333333334,1.5454920763038407e-39,31.386666666666667,5.386666666666667
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,success,150,0.185,0.13666666666666666,0.235,0.0,0.37333333333333335,1.363671398024735e-10,0.36666666666666664,0.18166666666666667
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,total_e2e_tokens,150,56031.26666666667,37114.93666666667,69160.955,50008.875,0.96,2.08925524731209e-35,99817.685,43786.418333333335
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,gen_tokens,150,1030.405,804.8816666666667,1247.72,1029.25,0.8266666666666667,1.6591295608043992e-16,4342.13,3311.725
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,obs_tokens,150,51986.3,33842.36833333333,64897.075,46843.625,0.9466666666666667,7.799950339037261e-33,87295.54333333333,35309.24333333333
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,turns,150,26.673333333333332,24.18166666666667,29.27166666666667,22.25,0.9933333333333333,2.1159606811304738e-43,32.178333333333335,5.505
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,tool_calls,150,14.443333333333333,12.86,16.04,12.0,0.98,7.884069497892145e-40,19.508333333333333,5.065
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,peak_ctx,150,1412.38,677.3483333333334,2169.173333333333,2058.125,0.6933333333333334,2.4715829058159294e-06,32567.553333333333,31155.173333333332
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,mean_ctx,150,-1947.6171547771235,-2477.3154395886736,-1446.3107576164684,-1600.6518246908108,0.3,1.0588547527634354e-06,17562.5142221413,19510.131376918423
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,cum_prompt_tokens,150,502586.62666666665,447142.64666666667,559534.23,398807.875,0.9866666666666667,1.5871106406942878e-41,615312.415,112725.78833333333
FoldGRPO/fold − GRPO/no fold,fold_fold,grpo_nofold,t1n4,forward_passes,150,26.673333333333332,24.30666666666667,29.19,22.25,0.9933333333333333,2.1159606811304738e-43,32.178333333333335,5.505
